,title,level,Prerequisites,Duration,Languages,Course Details,days details
50,Embedded Linux and System Integration for Zynq,"Level: 
Advanced",['Programming Xilinx Zynq SoCs with MATLAB and Simulink'],"Duration: 
2 days",,"
This two-day training course will give attendees hands-on experience in creating and customizing an embedded Linux® system for their custom target using Zynq®. 
Topics include:

Creating a reference design in Vivado and SDK
Software anatomy of a Zynq® system
Zynq build system
Building a custom Linux image for Zynq
Integrating user space device drivers in Simulink




","
Day 1 of 2






Creating Reference Design in Vivado and SDK



Objective: Create a Vivado® block diagram and SDK project to target PL and PS.

Building a Vivado Block diagram to target PL
Exporting hardware to SDK and creating board support package
Creating a software application for ARM
Automating build process through Tcl scripts




Software Anatomy of a Zynq System



Objective: Understand various software components like FSBL, u-boot, kernel, user-space.

Overview of embedded Linux
Understanding various components of boot image




Zynq Build System



Objective: Understand various software components to form a system image and an automation process.

Understanding system boots
Generating various binary files, including .elf, .bit, and open source build with buildroot
Understanding storage device layout
Using a MathWorks build system to have easy hooks for customization of bitstream/FSBL, devicetree and Kernel configuration




Day 2 of 2






Zynq Build System (Continued)



Objective: Create a custom linux image with device drivers for various PL and PS integrated peripherals.

Updating devicetree to include new mappings
Modifying kernel to turn on a driver
Creating boot.bin and generating custom SD card image




Integrating User Space Device Drivers in Simulink



Objective: Integrate device driver C code for peripherals in Simulink to communicate with the custom Linux image.

Overview of the generated C code main function, scheduler timing and POSIX threads
Creating a custom System object™
Using coder.ceval and System objects for C code integration
Interacting with custom Linux images from Simulink
Creating a standalone application as part of boot image



"
51,Modeling Driveline Systems with Simscape,"Level: 
Advanced","['MATLAB Fundamentals', 'Simulink Fundamentals', 'Modeling Physical Systems with Simscape']","Duration: 
1 day","Languages: 
日本語, 中文","
This course focuses on modeling mechanical systems for automotive applications in the Simulink® environment using Simscape Driveline™ (formerly SimDriveline™).
Topics include:

Modeling vehicle bodies and tires
Designing and optimizing braking systems
Designing mechanical power transmission mechanism
Creating multidomain automotive models with closed-loop controllers




","
Day 1 of 1






Introduction to Vehicle Modeling



Objective: Create and analyze vehicle body and tire models under various terrain, wind, and friction conditions.

Vehicle body modeling
Friction, wind, and terrain effects
Sensing physical quantities
Dividing model and measurements




Braking Systems



Objective: Model vehicle braking systems with built-in blocks and custom Simscape language components.

Simscape Driveline brake blocks
Measuring wheel quantities
Custom brake model




Transmission Mechanisms



Objective: Build and test mechanical power transmission systems in Simscape Driveline.

Actuating models with power sources
Building driveline mechanisms
Creating a multispeed transmission




Multidomain Drive and Control



Objective: Connect mechanical automotive models to other physical domains in Simscape and create realistic closed-loop control strategies.

DC motor drive
PWM actuation
Closed-loop speed control



"
52,Modeling Electrical Power Systems with Simscape,"Level: 
Advanced","['MATLAB Fundamentals', 'Simulink Fundamentals', 'Modeling Physical Systems with Simscape']","Duration: 
1 day","Languages: 
English, 한국어, 中文","
This course discusses how to model electrical power systems in the Simulink® environment using the Simscape Electrical™ Specialized Power Systems library (formerly SimPowerSystems™).
Topics include:

Creating three-phase systems with passive elements
Creating three-phase systems with electrical machines
Analyzing and controlling electrical power systems
Modeling power electronic components
Speeding up simulation of electrical models




","
Day 1 of 1






Introduction to Three-Phase Systems



Objective: Become familiar with the Simscape Electrical environment by modeling a simple three-phase electrical system.

Creating three-phase models
Measuring physical quantities
Viewing and setting initial states
Modeling transformers
Simulating nonlinear electrical models




Three-Phase Systems with Electrical Machines



Objective: Create models with three-phase electrical machines.

Modeling electrical machines
Actuating and measuring machine quantities
Initializing machines
Selecting solver methods




Controlling Electrical Machines



Objective: Analyze and control the effects of loads and disturbances on electrical machine models.

Modeling breakers and faults
Controlling electrical machines
Improving model readability
Parameterizing models




Power Electronics



Objective: Model electrical power conversion and transmission systems.

Inverters and rectifiers
Transmission losses
Connection to Simscape
Inverter control
Model testing and integration



"
53,Modeling Fluid Systems with Simscape,"Level: 
Advanced","['MATLAB Fundamentals', 'Simulink Fundamentals', 'Modeling Physical Systems with Simscape']","Duration: 
1 day","Languages: 
English, 中文","
This course focuses on modeling fluid systems in Simulink® using Simscape Fluids™ (formerly SimHydraulics®).
Topics include:

Modeling fluid power systems
Actuating and controlling fluid system models
Modeling thermal liquid and gas cooling systems
Exchanging heat between fluid domains




","
Day 1 of 1






Hydromechanical Systems



Objective: Use Simscape and Simscape Fluids blocks to model the conversion between mechanical and hydraulic energy.

Hydraulic modeling in Simscape
Data logging and visualization
Hydromechanical components
Fluid dynamics and properties




Hydraulic Actuation and Control



Objective: Model closed-loop fluid power systems controlled by valves and actuators.

Valves in Simscape Fluids
Feedback control with Simulink
Accumulator control
Model hierarchy and solvers




Thermal Liquid Systems



Objective: Model a liquid cooling system accounting for thermal and elevation effects.

Thermal liquid networks
Thermal networks
Heat exchangers
Elevation effects
Temperature control




Gas Systems



Objective: Model a forced-air cooling system with ambient air ventilation.

Gas networks
Forced-air cooling
Noncircular pipe flows
Ventilation control
System model integration



"
54,Modeling Multibody Mechanical Systems with Simscape,"Level: 
Advanced","['MATLAB Fundamentals', 'Simulink Fundamentals', 'Modeling Physical Systems with Simscape']","Duration: 
1 day","Languages: 
Deutsch, English, Français, 日本語, 한국어, 中文","
This course focuses on how to model rigid-body mechanical systems in the Simulink® environment using Simscape Multibody™ (formerly SimMechanics™).
Topics include:

Modeling simple multibody systems
Creating custom geometries and compound bodies
Creating reusable models of mechanical systems
Assembling, guiding, and verifying mechanisms
Importing models from CAD software
Combining Simulink, Simscape™, and Simscape Multibody blocks




","
Day 1 of 1






Introduction to Multibody Simulation



Objective: Discuss the components that make up mechanical models and how to define them in Simscape Multibody.

Terminology
Solids
Coordinate frames
Joints
Visualization




Refining Components



Objective: Create custom and complex rigid bodies, and parameterize parts for reusable Simscape Multibody models.

Defining geometries
Creating compound bodies
Specifying body interfaces
Parameterizing bodies for reuse




Assembling Mechanisms



Objective: Define and configure kinematics of a multibody machine in Simscape Multibody.

Reusing existing components
Specifying degrees of freedom
Sensing and logging simulation results
Adding stiffness and damping to joints
Setting initial conditions
Guiding and verifying an assembled mechanism




Importing CAD Models



Objective: Import existing parts and mechanisms from CAD platforms into Simscape Multibody.

Visualizing bodies with CAD geometries
Identifying the different CAD import workflows
Exporting from CAD software
Importing into Simscape Multibody
Features captured by Simscape Multibody Link




Connecting to Simscape and Simulink



Objective: Illustrate the ways that Simscape Multibody blocks can interact with Simscape and Simulink blocks.

Adding a combustion model using Simscape
Actuating the piston head
Sensing constraint forces on joints
Adding a control system for throttle
Creating a multidomain physical model



"
55,Modeling Physical Systems with Simscape,"Level: 
Advanced","['MATLAB Fundamentals', 'Simulink Fundamentals']","Duration: 
1 day","Languages: 
Deutsch, English, Français, 日本語, 한국어, 中文","
This course focuses on modeling systems in several physical domains and combine them into a multidomain system in the Simulink® environment using Simscape™.
Topics include:

Creating models in various physical domains, such as electrical, mechanical, and hydraulic
Interpreting Simscape diagrams
Combining Simulink models and Simscape models
Modeling energy transfer between different physical domains
Creating user-defined Simscape components




","
Day 1 of 1






Introduction to Simscape and the Physical Network Approach



Objective: Become familiar with the Simscape environment by modeling a simple electrical system.

Introduction to Simscape
Differences between Simulink and Simscape
Building and simulating a model in Simscape
Guidelines for Simscape modeling




Working with Simscape Components



Objective: Interpret Simscape block diagrams and identify the physical variables in Simscape by modeling a mechanical system.

Describing Simscape component fundamentals
Using the Simscape Foundation Library
Setting initial conditions
Logging physical variables




Connecting Physical Domains



Objective: Connect models from different physical domains to create a single, multidomain model.

Creating multidomain physical components
Modeling ideal and nonideal connections between physical domains
Dividing components into subsystems
Parameterizing models




Combining Simscape Models and Simulink Models



Objective: Add Simulink blocks to a Simscape model to increase modeling flexibility.

Connecting physical signals and Simulink signals
Performing operations on physical signals
Controlling physical models
Solving models with Simscape and Simulink blocks




Creating Custom Components with the Simscape Language



Objective: Leverage the Simscape language to create custom physical components in Simscape.

Simscape language
Custom component workflow
Complete custom component example



"
56,Real-Time Testing with Simulink Real-Time and Speedgoat Hardware,"Level: 
Advanced","['Simulink Fundamentals (or Simulink Fundamentals for Automotive Applications or Simulink Fundamentals for Aerospace Applications)', 'Knowledge of Simscape™ preferred']","Duration: 
4 half-days","Languages: 
Deutsch, English, 한국어","
This hands-on four half-day course focuses on real-time testing workflows, including rapid control prototyping (RCP) and hardware-in-the-loop (HIL) testing, using Simulink Real-Time™ software and Speedgoat real-time computers. Attendees will convert desktop-based simulation applications into real-time applications that run on the target machine and interface with physical hardware. Emphasis is placed on interacting with the application in real-time and analyzing the outputs for validation. This course is intended for intermediate to advanced Simulink® users who are adopting real-time testing in their development process.



","
Day 1 of 4






Workflow Overview
Objective: Set up the real-time testing hardware and test communications between host and target computers.

Real-time testing overview
Setting up the host and target computers
Running a real-time application
Tuning parameters
Monitoring and visualizing Signals
Creating a standalone application

Developing Real-Time Applications
Objective: Use Speedgoat driver blocks to convert a desktop-based test bench to an RCP application.

Permanent magnetic synchronous motor (PMSM) hardware introduction
Converting plant models into plant hardware interfaces
Implementing Speedgoat I/O drivers




Day 2 of 4






Developing Real-Time Applications 
Objective: Use Speedgoat driver blocks to convert a desktop-based test bench to an RCP application.

Testing sensors and actuators
Executing closed-loop real-time simulations with physical hardware
Using Simulink Dashboard blocks
Buffering signals

Building Interactive Interfaces
Objective: Use App Designer to create interactive user interfaces to a real-time application.

Arranging user interface components
Performing real-time application tasks
Visualizing signals
Tuning parameters




Day 3 of 4






Automating Real-Time Tests 
Objective: Use Simulink Test to create and execute an automated test suite.

Building a harness for automated testing
Creating test sequences
Iterating input and parameter sets
Analyzing test results
Automating real-time tests with MATLAB

Using Communications Protocols
Objective: Configure IO blocks to interface the target machine with standard communication protocols.

Simulink Real-Time protocol support
Real-Time UDP
I2C loopback testing




Day 4 of 4






Optimizing Plant Models for Real-Time Execution 
Objective: Use the desktop model to validate model fidelity with respect to optimization considerations, and optimize the plant model to execute on target hardware.

Measuring plant model accuracy
Analyzing real-time performance
Optimizing model solvers
Evaluating alternative implementations

Hardware-in-the-Loop Testing
Objective: Convert a simulation test bench into a HIL testing configuration, and use a real-time plant model to validate system requirements.

Hardware-in-the-Loop (HIL) workflow overview
Running the controller algorithm on production hardware
Setting up a HIL system
Running HIL tests



"
57,Software-Defined Radio with Zynq using Simulink,"Level: 
Advanced","['Programming Xilinx Zynq SoCs with MATLAB and Simulink', 'Knowledge of concepts of communications and hardware design']","Duration: 
1 day",,"
This hands-on, one-day course focuses on modeling designs based on software-defined radio in MATLAB® and Simulink® and configuring and deploying on the ADI RF SOM.
Topics include:

Modeling communications systems using Simulink
Implementing Radio I/O with ADI RF SOM and Simulink
Prototype deployment with real-time data via HW/SW co-design




","
Day 1 of 1






Model Communications System using Simulink
Objective: Model and simulate RF signal chain and communications algorithms.

Overview of software-defined radio concepts and workflows
Model and understand AD9361 RF Agile Transceiver using Simulink
Simulate a communications system that includes a transmitter, AD9361 Transceiver, channel and Receiver (RF test environment)

Implement Radio I/O with ADI RF SOM and Simulink
Objective: Verify the operation of baseband transceiver algorithm using real data streamed from the AD9361 into MATLAB and Simulink.

Overview of System object and hardware platform
Set up ADI RF SOM as RF front-end for over-the-air signal capture or transmission
Perform baseband processing in MATLAB and Simulink on captured receive signal
Configure AD9361 registers and filters via System object
Verify algorithm performance for real data versus simulated data

Prototype Deployment with Real-Time Data via HW/SW Co-Design
Objective: Generate HDL and C code targeting the programmable logic (PL) and processing system (PS) on the Zynq SoC to implement TX/RX.

Overview of Zynq HW/SW co-design workflow
Implement Transmitter and Receiver on PL/PS using HW/SW co-design workflow
Configure software interface model
Download generated code to the ARM processor and tune system parameters in real-time operation via Simulink
Deploy a stand-alone system



"
58,Upgrading from LTE to 5G with MATLAB,"Level: 
Advanced",['MATLAB Fundamentals and Designing LTE and LTE Advanced Physical Layer Systems with MATLAB or significant experience with LTE systems'],"Duration: 
1 day","Languages: 
English","
This one-day course provides an overview of the differences and new features of the 5G physical layer relative to the LTE physical layer. Using MATLAB and 5G Toolbox™, attendees will learn how to generate reference 5G NR waveforms and build and simulate an end-to-end 5G NR PHY model.
Topics include:

Descriptions of all of the signals and elements of the processing chain for the uplink and downlink 5G NR physical channels
Best practices and example workflows for how to use 5G Toolbox to generate waveforms and simulate end-to-end systems




","
Day 1 of 1






Introduction to the 5G NR Physical Layer
Objective: Provide an introduction to the 5G standard and its differences with the LTE standard. Introduce general use cases and requirements for 5G. Learn about the resource grid and frame structure and numerology of 5G waveforms. Understand processing elements for different downlink and uplink physical channels, containing data and control information and physical signals. Learn about the initial acquisition procedures including cell search.

Introduction to 5G: use cases, requirements, deployment scenarios
5G Waveforms, Frame Structure, and Numerology
Downlink and Uplink Data in 5G NR
Downlink Control, CORESETs, and Uplink Control in 5G NR
5G Physical Signals: DMRS, Synchronization Signal Block, Signals for Channel Sounding
Initial Acquisition Procedures: Cell Search and RACH

5G NR Waveform Generation and System Simulation Using the 5G Toolbox
Objective: Learn best practices and workflows for using 5G Toolbox. Understand how to generate 5G waveforms, set up spatial channel model, and send a signal through the channel. Explore receiver implementation issues and end-to-end performance metrics. Introduce various application-specific workflows.

Overview of 5G Toolbox
Interactive and Programmatic 5G Waveform Generation
Configuration of Cluster Delay Line and Tapped Delay Line Wireless Channel Models
Signal Transmission through a Noisy Channel
Receiver Implementation including Synchronization and Channel Estimation
End-to-End System Performance Metrics
Overview of Application-Specific Workflows



"
59,Generating HDL Code from Simulink,"Level: 
Advanced",['Signal Processing with Simulink'],"Duration: 
2 days","Languages: 
English, 한국어","
This two-day course shows how to generate and verify HDL code from a Simulink® model using HDL Coder™ and HDL Verifier™.
Topics include:

Preparing Simulink models for HDL code generation
Generating HDL code and testbench for a compatible Simulink model
Performing speed and area optimizations
Integrating handwritten code and existing IP
Verifying generated HDL code using testbench and cosimulation




","
Day 1 of 2






Preparing Simulink Models for HDL Code Generation



Objective: Prepare a Simulink model for HDL code generation. Generate HDL code and testbench for simple models requiring no optimization.

Preparing Simulink models for HDL code generation
Generating HDL code
Generating a test bench
Verifying generated HDL code with an HDL simulator




Fixed-Point Precision Control



Objective: Establish correspondence between generated HDL code and specific Simulink blocks in the model. Use Fixed-Point Tool to finalize fixed point architecture of the model.

Fixed-point scaling and inheritance
Fixed-Point Designer workflow
Fixed-Point Tool
Command-line interface




Generating HDL Code for Multirate Models



Objective: Generate HDL code for multirate designs.

Preparing a multirate model for generating HDL code
Generating HDL code with single or multiple clock pins
Understanding and applying techniques used for clock domain crossing




Day 2 of 2






Optimizing Generated HDL Code



Objective: Use pipelines to meet design timing requirements. Use specific hardware implementations and share resources for area optimization.

Generating HDL code with the HDL Workflow Advisor
Meeting timing requirements via pipelining
Choosing specific hardware implementations for compatible Simulink blocks
Sharing FPGA/ASIC resources in subsystems
Verifying that the optimized HDL code is bit-true cycle-accurate
Mapping Simulink blocks to dedicated hardware resources on FPGA




Using Native Floating Point



Objective: Implement floating point values and operations in your HDL code.

Why and when to use native floating point
Target-independent HDL code generation with HDL Coder
Fixed-point vs. floating point comparison
Optimization of floating point implementations




Interfacing External HDL Code with Generated HDL



Objective: Incorporate hand-written HDL code and/or vendor party IP in your design.

Interfacing external HDL code




Verifying HDL Code with Cosimulation



Objective: Verify your HDL code using an HDL simulator in the Simulink model.

Verifying HDL code generated with HDL Coder
Comparing manually written HDL code with a ""golden model""
Incorporating HDL code into Simulink for simulation



"
60,MATLAB to C with MATLAB Coder,"Level: 
Advanced",['MATLAB Fundamentals and knowledge of C programming language'],"Duration: 
2 days","Languages: 
English","
This two-day course focuses on generating C code from MATLAB® code using MATLAB Coder™. The focus is on developing MATLAB code that is ready for code generation, generating C code that meets optimization requirements, and integrating generated code into parent projects and external modules. This course is intended for intermediate to advanced MATLAB users.



","
Day 1 of 2






Code Generation with MATLAB Coder



Objective: Become familiar with MATLAB Coder and its applications.

MATLAB Coder overview
Workflow for generating C code from MATLAB code
Generating C code
Verifying generated code
Navigating generated code




Preparing MATLAB Code for Code Generation



Objective: Use MATLAB Coder coding standards to write MATLAB code that is ready for code generation.

Translating MATLAB code into C code
Calling unsupported MATLAB functions
Preparing existing MATLAB code
Code preparation workflows




Working with Fixed-Size Data



Objective: Generate C code from MATLAB code that has fixed-size or constant inputs.

Data characteristics overview
Specifying fixed-size, top-level input
Specifying constant top-level inputs




Working with Variable-Size Data



Objective: Generate C code from MATLAB code that has variable-size inputs or local data.

Specifying variable-size, top-level inputs
Specifying variable-size local data
Reusing variables




Day 2 of 2






Working with Global Data, Structures, and Cell Arrays



Objective: Generate C code from MATLAB code that contains persistent data, global variables, input structures, or cell arrays.

Persistent variables
Global variables
Working with structures
Cell arrays in generated code
Passing arguments by reference




Integrating with External Code



Objective: Integrate generated C code from MATLAB Coder with external C code.

Code integration overview
Entry points to generated code
Integrating external C code using MATLAB Coder interface
Integrating external C code using an external IDE
Calling external C functions
Code verification and profiling
Source code debugging




Optimizing Generated Code



Objective: Use various options and techniques to optimize generated code.

Code optimization with loop unrolling and null initialization
Function inlining and file partitioning
Configuration objects
Removing unnecessary code
Naming conventions in generated code
Converting a project to a script



"
61,Model-Based Design Introduction,,,,,"
This class is currently only available in Japan



","
"
