,title,time_in_hours,no_of_videos,Exercises,no_of_Learners,XP,course-description,what-you-will-learn-lesson-1,what-you-will-learn-lesson-2,what-you-will-learn-lesson-3,what-you-will-learn-lesson-4,collaborators,prerequisities,what-you-will-learn-lesson-5,what-you-will-learn-lesson-6
10,Introduction to Data Visualization with Plotly in Python,4,14,45,"7,142",3550,"Producing high-quality, interactive visualizations historically required complex code, extensive time, and effort. Not anymore. In this course, you’ll learn how to create publication-quality graphs harnessing the power of JavaScript, without leaving the comfort of the Python programming language we all love. You’ll create, style, and customize a variety of stunning, interactive graphs—using datasets ranging from stock prices to basketball team stats, and even penguin beak sizes! Using the Plotly charting library, you’ll also learn to customize interactivity such as hover information, range sliders, custom buttons, and even drop-downs that reactively change the visualization. Are you ready to level-up your data visualization skills?","Plotly and the Plotly Figure,Playing with a Plotly Figure,Fixing a Plotly figure,Univariate visualizations,Student scores bar graph,Box plot of company revenues,Histogram of company revenues,Customizing color,What color did we use?,Coloring student scores bar graph,Side-by-side revenue box plots with color,Revenue histogram with stacked bars","Subplots,Revenue box subplots,Revenue histogram subplots,Layering multiple plots,Species on different islands,Monthly temperatures layered,Time buttons,A time button dictionary,Time buttons on our rainfall graph,Finance line chart with custom time buttons","Bivariate visualizations,Building a scatterplot with specific colors,Bird feature correlations,Customizing hover information and legends,GDP vs. life expectancy legend,Enhancing our GDP plot,Adding annotations,Annotating your savings,A happier histogram plot,Editing plot axes,The log-scale parameter,Analyzing basketball stats,Styling scientific research","Custom buttons,Rainfall plot type buttons,Changing annotations with buttons,Dropdowns,Growth locations dropdown,Housing prices dropdown,Sliders,Hiding a slider trace,Rainfall by season slider,What you learned",Amy Peterson,"Penguins data,Revenue data,AAPL data,World Bank population data,Sydney temperature data,Rainfall data,Monthly sales,Revenue Data Extended,Intermediate Python",,
11,Bayesian Data Analysis in Python,4,14,49,"5,488",4000,"Bayesian data analysis is an increasingly popular method of statistical inference, used to determine conditional probability without having to rely on fixed constants such as confidence levels or p-values. In this course, you’ll learn how Bayesian data analysis works, how it differs from the classical approach, and why it’s an indispensable part of your data science toolbox. You’ll get to grips with A/B testing, decision analysis, and linear regression modeling using a Bayesian approach as you analyze real-world advertising, sales, and bike rental data. Finally, you’ll get hands-on with the PyMC3 library, which will make it easier for you to design, fit, and interpret Bayesian models.","Who is Bayes? What is Bayes?,Bayesians vs. Frequentists,Probability distributions,Probability and Bayes' Theorem,Let's play cards,Bayesian spam filter,What does the test say?,Tasting the Bayes,Tossing a coin,The more you toss, the more you learn,Hey, is this coin fair?","A/B testing,Simulate beta posterior,Posterior click rates,A or B, and how sure are we?,How bad can it be?,Decision analysis,Decision analysis: cost,Decision analysis: profit,Regression and forecasting,Defining a Bayesian regression model,Analyzing regression parameters,Predictive distribution","Under the Bayesian hood,Towards grid approximation,Grid approximation without prior knowledge,Updating posterior belief,Prior belief,The truth of the prior,Picking the right prior,Simulating posterior draws,Reporting Bayesian results,Point estimates,Highest Posterior Density credible intervals,The meaning of credibility","Markov Chain Monte Carlo and model fitting,Markov Chain Monte Carlo,Sampling posterior draws,Interpreting results and comparing models,Inspecting posterior draws,Comparing models with WAIC,Making predictions,Sample from predictive density,Estimating test error,How much is an avocado?,Fitting the model,Inspecting the model,Optimizing the price,Final remarks","Amy Peterson,Justin Saddlemyer","Ads Data,Bikes Data,Intermediate Python,Introduction to Statistics in Python",,
12,Reshaping Data with tidyr,4,15,54,"6,522",4650,"Data in the wild can be scary—when confronted with a complicated and messy dataset you may find yourself wondering, where do I even start? The tidyr package allows you to wrangle such beasts into nice and tidy datasets. Inaccessible values stored in column names will be put into rows, JSON files will become data frames, and missing values will never go missing again. You'll practice these techniques on a wide range of messy datasets, learning along the way how many dogs the Soviet Union sent into space and what bird is most popular in New Zealand. With the tidyr package in your tidyverse toolkit, you'll be able to transform almost any dataset in a tidy format which will pay-off during the rest of your analysis.","What is tidy data?,Tidy data structure,Multiple variables per column,Columns with multiple values,International phone numbers,Extracting observations from values,Separating into columns and rows,Missing values,And the Oscar for best director goes to ... <NA>,Imputing sales data,Nuclear bombs per continent","Creating unique combinations of vectors,Letters of the genetic code,When did humans replace dogs in space?,Finding missing observations,Completing data with all value combinations,Completing the Solar System,Zero Olympic medals,Creating a sequence with full_seq(),The Cold War's hottest year,Advanced completions,Olympic medals per continent,Tracking a virus outbreak,Counting office occupants","From wide to long data,Nuclear bombs per country,WHO obesity per country,Bond... James Bond,Deriving variables from column headers,New-Zealand's bird of the year,Big tech stock prices,Deriving variables from complex column headers,Soviet space dogs, the dog perspective,WHO obesity vs. life expectancy,Uncounting observations,From long to wide data,Soviet space dogs, the flight perspective,Planet temperature & distance to the Sun,Transposing planet data","Intro to non-rectangular data,Rectangular vs non-rectangular files,Rectangling Star Wars movies,From nested values to observations,Unnesting wide or long,Rectangling Star Wars planets,The Solar System's biggest moons,Selecting nested variables,Hoisting Star Wars films,Hoisting movie ratings,Nesting data for modeling,Tidy model outputs with broom,Nesting tibbles,Modeling on nested data frames,Congratulations!","Maggie Matsui,Amy Peterson","Importing & Cleaning Data,Tidyverse Fundamentals,Nuclear explosions data,Planet data,Star Wars data,Netflix data,ANSUR II data,Olympic medals data,Data Manipulation with dplyr",,
13,Cloud Computing for Everyone,2,11,33,"25,103",2250,"Every day we interact with the cloud—whether it’s using Google Drive, apps like Salesforce, or accessing our favorite websites. Cloud computing has become the norm for many companies, but what exactly is the cloud and why is everyone rushing to adopt it? Designed for absolute novices, this course breaks down what the cloud is and explains terminology such as scalability, latency, and high-availability. You'll learn about the many advantages including ease of remote collaboration, how there are no hardware limitations, and reliable disaster recovery. You'll also discover the range of tools provided by major cloud providers such as Amazon Web Services (AWS), Microsoft Azure, and Google Cloud. By the end of this course, you'll be able to confidently explain how cloud tools can increase productivity and save money, as well as ask the right questions about how to optimize your use of cloud tools.","What is cloud computing?,Understanding the cloud,Cloud vs. on-premise,Cloud computing services,The power of the cloud,Primary cloud services,Key characteristics,Cloud service models,Outsourcing IT services,IaaS, PaaS, or SaaS?,Level of abstraction","Amazon Web Services,AWS,NerdWallet,Microsoft Azure,The Ottawa hospital,That doesn't seem right,Google Cloud,Lush migration,True or false?,Other actors and final thoughts,State of the competition,Cloud providers and their services,Congratulations!","Cloud deployment models,Private or public?,Pick the best model,Regulations on the cloud,Time limits on storing data,Personal data,Cloud computing roles,Microsoft cloud skills report,Cloud roles",,,Data Literacy Fundamentals,,
14,Introduction to Statistics in Python,4,15,54,"14,614",4250,"Statistics is the study of how to collect, analyze, and draw conclusions from data. It’s a hugely valuable tool that you can use to bring the future into focus and infer the answer to tons of questions. For example, what is the likelihood of someone purchasing your product, how many calls will your support team receive, and how many jeans sizes should you manufacture to fit 95% of the population? In this course, you'll discover how to answer questions like these as you grow your statistical skills and learn how to calculate averages, use scatterplots to show the relationship between numeric values, and calculate correlation. You'll also tackle probability, the backbone of statistical reasoning, and learn how to use Python to conduct a well-designed study to draw your own conclusions from data.","What is statistics?,Descriptive and inferential statistics,Data type classification,Measures of center,Mean and median,Mean vs. median,Measures of spread,Quartiles, quantiles, and quintiles,Variance and standard deviation,Finding outliers using IQR","The normal distribution,Distribution of Amir's sales,Probabilities from the normal distribution,Simulating sales under new market conditions,Which market is better?,The central limit theorem,Visualizing sampling distributions,The CLT in action,The mean of means,The Poisson distribution,Identifying lambda,Tracking lead responses,More probability distributions,Distribution dragging and dropping,Modeling time between leads,The t-distribution","What are the chances?,With or without replacement?,Calculating probabilities,Sampling deals,Discrete distributions,Creating a probability distribution,Identifying distributions,Expected value vs. sample mean,Continuous distributions,Which distribution?,Data back-ups,Simulating wait times,The binomial distribution,Simulating sales deals,Calculating binomial probabilities,How many sales will be won?","Correlation,Guess the correlation,Relationships between variables,Correlation caveats,What can't correlation measure?,Transforming variables,Does sugar improve happiness?,Confounders,Design of experiments,Study types,Longitudinal vs. cross-sectional studies,Congratulations!",Adel Nehme,"Data Analyst,Data Scientist,Statistics Fundamentals,Food Consumption,2019 World Happiness Report,Amir's sales deals,Data Manipulation with pandas",,
15,Cleaning Data in PostgreSQL Databases,4,15,49,"2,625",4050,"If you surveyed a large number of data scientists and data analysts about which tasks are most common in their workday, cleaning data would likely be in almost all responses. This is the case because real-world data is messy. To help you tame messy data, this course teaches you how to clean data stored in a PostgreSQL database. You’ll learn how to solve common problems such as how to clean messy strings, deal with empty values, compare the similarity between strings, and much more. You’ll get hands-on practice with these tasks using interesting (but messy) datasets made available by New York City's Open Data program. Are you ready to whip that messy data into shape?","Introduction to data cleaning,Developing a data cleaning mindset,Applying functions for string cleaning,Pattern matching,Classifying parking violations by time of day,Masking identifying information with regular expressions,Matching similar strings,Matching inconsistent color names,Standardizing color names,Standardizing multiple colors,Formatting text for colleagues","Data type conversions,Type conversion with a CASE clause,Applying aggregate functions to converted values,Date parsing and formatting,Cleaning invalid dates,Converting and displaying dates,Timestamp parsing and formatting,Extracting hours from a time value,A parking violation report by day of the month,Risky parking behavior","Handling missing data,Quantifying completeness,Using a fill-in value,Analyzing incomplete records,Handling duplicated data,Duplicate parking violations,Resolving impartial duplicates,Detecting invalid values,Detecting invalid values with regular expressions,Identifying out-of-range vehicle model years,Detecting inconsistent data,Identifying invalid parking violations,Invalid violations with overnight parking restrictions,Recovering deleted data","Combining columns,Tallying corner parking violations,Creating a TIMESTAMP with concatenation,Splitting column data,Extracting time units with SUBSTRING(),Extracting house numbers from a string,Splitting data with delimiters,Splitting house numbers with a delimiter,Mapping parking restrictions,Creating pivot tables,Selecting data for a pivot table,Using FILTER to create a pivot table,Aggregating film categories,Course wrap-up","Maggie Matsui,Amy Peterson","Parking violations in NYC,Restaurant inspections in NYC,Film permits in NYC,Intermediate SQL",,
16,Reshaping Data with pandas,4,15,52,"6,080",4450,"Often data is in a human-readable format, but it’s not suitable for data analysis. This is where pandas can help—it’s a powerful tool for reshaping DataFrames into different formats. In this course, you’ll grow your data scientist and analyst skills as you learn how to wrangle string columns and nested data contained in a DataFrame. You’ll work with real-world data, including FIFA player ratings, book reviews, and churn analysis data, as you learn how to reshape a DataFrame from wide to long format, stack and unstack rows and columns, and get descriptive statistics of a multi-index DataFrame.","Wide and long data formats,The long and the wide,Flipping players,Reshaping using pivot method,Dribbling the pivot method,Offensive or defensive player?,Replay that last move!,Pivot tables,Reviewing the moves,Exploring the big match,The tallest and the heaviest","Stacking DataFrames,Stack the calls!,Phone directory index,Text me!,Unstacking DataFrames,International caller,Call another time,Organizing your voicemail,Working with multiple levels,Swap your SIM card,Two many calls,Handling missing data,A missed phone call,Don't drop the stack","Reshaping with melt,Gothic times,Rating is not everything,How is Frankenstein, Dorian Gray?,Wide to long function,The golden age,Decrypting the code,Time to read, Katniss!,Working with string columns,Did you say dystopia?,What's your rating, Harry?,Elementary, dear Watson!","Reshaping and combining data,Less fast food, please!,Only going up,A group analysis,Transforming a list-like column,Merge it all,Explode the bounds,The good old split,Reading nested data into a DataFrame,Nested movies,A complex film,Dealing with nested data columns,Un-nesting birds,Don't dump the bird,The final reshape","Maggie Matsui,Amy Peterson","Importing & Cleaning Data,Customer churn data,Books data,FIFA players data,Obesity data,Data Manipulation with pandas",,
17,SQL Foundations,2,7,24,,1700,"Much of the world's raw data—from electronic medical records to customer transaction histories—lives in organized collections of tables called relational databases. Being able to wrangle and extract data from these databases using SQL is an essential skill within the data industry and in increasing demand. This course will teach you:

✓ How relational databases are structured
✓ Simple SQL commands to start your analysis
✓ The differences between SQL databases such as PostgreSQL and SQL Server

In just a few hours, you'll get to know the theory and the practice through bite-sized videos and interactive exercises where you can put your new-found SQL skills to the test.","Databases,Data organization,Database advantages,Tables,Picking a unique ID,Setting the table in style,Our very own table,Data,At your service,Finding data types,Choice of type","Introducing queries,SQL strengths,Developing SQL style,Querying the books table,Writing queries,Making queries DISTINCT,Aliasing,VIEWing your query,SQL flavors,Comparing flavors,Limiting results,Translating between flavors,Congratulations!",,,"James Chapman,Amy Peterson",,,
18,Supervised Learning with scikit-learn,4,15,49,"5,645",4050,"Grow your machine learning skills with scikit-learn and discover how to use this popular Python library to train models using labeled data. In this course, you'll learn how to make powerful predictions, such as whether a customer is will churn from your business, whether an individual has diabetes, and even how to tell classify the genre of a song. Using real-world datasets, you'll find out how to build predictive models, tune their parameters, and determine how well they will perform with unseen data.","Machine learning with scikit-learn,Binary classification,The supervised learning workflow,The classification challenge,k-Nearest Neighbors: Fit,k-Nearest Neighbors: Predict,Measuring model performance,Train/test split + computing accuracy,Overfitting and underfitting,Visualizing model complexity","How good is your model?,Deciding on a primary metric,Assessing a diabetes prediction classifier,Logistic regression and the ROC curve,Building a logistic regression model,The ROC curve,ROC AUC,Hyperparameter tuning,Hyperparameter tuning with GridSearchCV,Hyperparameter tuning with RandomizedSearchCV","Introduction to regression,Creating features,Building a linear regression model,Visualizing a linear regression model,The basics of linear regression,Fit and predict for regression,Regression performance,Cross-validation,Cross-validation for R-squared,Analyzing cross-validation metrics,Regularized regression,Regularized regression: Ridge,Lasso regression for feature importance","Preprocessing data,Creating dummy variables,Regression with categorical features,Handling missing data,Dropping missing data,Pipeline for song genre prediction: I,Pipeline for song genre prediction: II,Centering and scaling,Centering and scaling for regression,Centering and scaling for classification,Evaluating multiple models,Visualizing regression model performance,Predicting on the test set,Visualizing classification model performance,Pipeline for predicting song popularity,Congratulations","James Chapman,Amy Peterson,Izzy Weber","Data Scientist,Machine Learning Fundamentals,Machine Learning Scientist,Advertising and Sales,Diabetes,Telecom Churn,Music,Introduction to Statistics in Python",,
19,Streamlined Data Ingestion with pandas,4,16,53,"35,199",4500,"Before you can analyze data, you first have to acquire it. This course teaches you how to build pipelines to import data kept in common storage formats. You’ll use pandas, a major Python library for analytics, to get data from a variety of sources, from spreadsheets of survey responses, to a database of public service requests, to an API for a popular review site. Along the way, you’ll learn how to fine-tune imports to get only what you need and to address issues like incorrect data types. Finally, you’ll assemble a custom dataset from a mix of sources.","Introduction to flat files,Get data from CSVs,Get data from other flat files,Modifying flat file imports,Import a subset of columns,Import a file in chunks,Handling errors and missing data,Specify data types,Set custom NA values,Skip bad data","Introduction to databases,Connect to a database,Load entire tables,Refining imports with SQL queries,Selecting columns with SQL,Selecting rows,Filtering on multiple conditions,More complex SQL queries,Getting distinct values,Counting in groups,Working with aggregate functions,Loading multiple tables with joins,Joining tables,Joining and filtering,Joining, filtering, and aggregating","Introduction to spreadsheets,Get data from a spreadsheet,Load a portion of a spreadsheet,Getting data from multiple worksheets,Select a single sheet,Select multiple sheets,Work with multiple spreadsheets,Modifying imports: true/false data,Set Boolean columns,Set custom true/false values,Modifying imports: parsing dates,Parse simple dates,Get datetimes from multiple columns,Parse non-standard date formats","Introduction to JSON,Load JSON data,Work with JSON orientations,Introduction to APIs,Get data from an API,Set API parameters,Set request headers,Working with nested JSONs,Flatten nested JSONs,Handle deeply nested data,Combining multiple datasets,Append dataframes,Merge dataframes,Wrap-up","Adrián Soto,Hillary Green-Lerman","Data Engineer,Vermont tax return data by ZIP code,FreeCodeCamp New Developer Survey response subset,NYC weather and 311 housing complaints,Intermediate Python,Introduction to SQL",,
20,Feature Engineering for NLP in Python,4,15,52,"16,496",4200,"In this course, you will learn techniques that will allow you to extract useful information from text and process them into a format suitable for applying ML models. More specifically, you will learn about POS tagging, named entity recognition, readability scores, the n-gram and tf-idf models, and how to implement them using scikit-learn and spaCy. You will also learn to compute how similar two documents are to each other. In the process, you will predict the sentiment of movie reviews and build movie and Ted Talk recommenders. Following the course, you will be able to engineer critical features out of any text and solve some of the most challenging problems in data science!","Introduction to NLP feature engineering,Data format for ML algorithms,One-hot encoding,Basic feature extraction,Character count of Russian tweets,Word count of TED talks,Hashtags and mentions in Russian tweets,Readability tests,Readability of 'The Myth of Sisyphus',Readability of various publications","Building a bag of words model,Word vectors with a given vocabulary,BoW model for movie taglines,Analyzing dimensionality and preprocessing,Mapping feature indices with feature names,Building a BoW Naive Bayes classifier,BoW vectors for movie reviews,Predicting the sentiment of a movie review,Building n-gram models,n-gram models for movie tag lines,Higher order n-grams for sentiment analysis,Comparing performance of n-gram models","Tokenization and Lemmatization,Identifying lemmas,Tokenizing the Gettysburg Address,Lemmatizing the Gettysburg address,Text cleaning,Cleaning a blog post,Cleaning TED talks in a dataframe,Part-of-speech tagging,POS tagging in Lord of the Flies,Counting nouns in a piece of text,Noun usage in fake news,Named entity recognition,Named entities in a sentence,Identifying people mentioned in a news article","Building tf-idf document vectors,tf-idf weight of commonly occurring words,tf-idf vectors for TED talks,Cosine similarity,Range of cosine scores,Computing dot product,Cosine similarity matrix of a corpus,Building a plot line based recommender,Comparing linear_kernel and cosine_similarity,Plot recommendation engine,The recommender function,TED talk recommender,Beyond n-grams: word embeddings,Generating word vectors,Computing similarity of Pink Floyd songs,Congratulations!","Adrián Soto,Hillary Green-Lerman","Machine Learning Scientist,Natural Language Processing,Russian Troll Tweets,Movie Overviews and Taglines,Preprocessed Movie Reviews,TED Talk Transcripts,Real and Fake News Headlines,Introduction to Natural Language Processing in Python,Supervised Learning with scikit-learn",,
